"County","Sector","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"RIVERSIDE","Total","     452.992090","     398.535471","     393.428777","     395.962524","     353.154641","     330.756610","     383.191870","     373.475975","     405.246267","     398.492302","     384.515591","     412.808001","     407.781119","     397.693187","     392.960458","     413.562092","     391.739734","     413.299883","     412.933113","     375.354265","     389.713239","     380.491523","     337.673583","     327.238077","     315.557860","     354.377415","     348.005374","     343.190517","     344.942794","     339.312982","   11368.387334"
"SACRAMENTO","Total","     311.789941","     305.292144","     308.776987","     287.660312","     279.348114","     273.721444","     316.933480","     309.407823","     329.352500","     315.258467","     315.243360","     311.905656","     315.470977","     321.353297","     324.049991","     343.286626","     322.014374","     325.846837","     319.554589","     307.116369","     329.120075","     325.274600","     292.429038","     317.606379","     314.407324","     347.062027","     333.599184","     319.781001","     342.908077","     334.593966","    9500.164959"
"SAN BENITO","Total","      15.699838","      13.827409","      13.387283","      13.313541","      12.912614","      12.168059","      13.609156","      13.582618","      13.428499","      13.173548","      13.069164","      13.412806","      13.380540","      13.857209","      13.154795","      15.192959","      13.473696","      10.918169","      10.597190","      17.950684","      18.508227","      17.056061","      14.762769","      15.532917","      13.850895","      14.074643","      13.958955","      12.598293","      16.753261","      16.976191","     424.181989"
"SAN BERNARDINO","Total","     547.272263","     500.056907","     493.140478","     494.381371","     469.438143","     451.759018","     502.660737","     485.700626","     503.914744","     492.544801","     460.925197","     499.665050","     507.309379","     514.409149","     493.340404","     533.921883","     498.869344","     530.321354","     526.224842","     562.741644","     583.359279","     591.947329","     543.325317","     548.509203","     520.328473","     570.231305","     504.667451","     491.663567","     521.460090","     538.320638","   15482.409986"
"SAN DIEGO","Total","     533.912231","     482.524487","     479.835986","     472.790143","     452.764993","     451.020019","     527.642787","     514.701980","     528.860009","     556.261657","     514.883170","     541.365756","     547.046031","     564.085858","     554.838720","     582.332975","     565.149872","     576.623407","     573.325162","     541.174898","     539.865887","     521.853456","     505.690363","     508.771652","     514.678176","     539.359954","     499.795028","     499.878073","     506.064377","     518.505484","   15715.602591"
"SAN FRANCISCO","Total","     229.478917","     228.029534","     229.956861","     226.796637","     213.765305","     219.951087","     256.717561","     257.587702","     262.898809","     263.789998","     277.731102","     302.553611","     258.380719","     264.387157","     258.127843","     262.095328","     247.959265","     248.446494","     232.633911","     299.796865","     316.524583","     293.250990","     265.338584","     271.072680","     270.683116","     297.657299","     281.601317","     266.296548","     298.730212","     289.862745","    7892.102780"
"SAN JOAQUIN","Total","     259.375883","     245.440713","     200.727055","     195.426734","     193.967349","     197.516539","     240.558733","     222.676994","     218.311171","     198.746360","     198.277941","     204.587546","     208.099534","     226.237720","     210.887301","     239.493412","     204.747440","     201.660204","     214.575299","     268.612708","     282.852593","     277.250224","     246.705119","     254.137857","     244.420382","     251.783057","     257.300778","     244.746256","     259.974257","     285.564006","    6954.661165"
"SAN LUIS OBISPO","Total","      89.726514","      81.677689","      83.787570","      80.321884","      77.529567","      76.754318","      84.941079","      81.816837","      80.666816","      78.892608","      79.186613","      78.627607","      92.904113","      91.262598","      89.664530","      93.900663","      92.747545","      93.828784","      87.484748","      68.760726","      74.824728","      70.396321","      66.379968","      57.449059","      51.758778","      56.004248","      53.810123","      53.140625","      55.443467","      53.758490","    2277.448616"
"SAN MATEO","Total","     214.429843","     209.664000","     211.256396","     199.729292","     193.900524","     192.730942","     227.680431","     223.999680","     227.419754","     221.471932","     221.906889","     230.553224","     217.861098","     220.602009","     216.784619","     231.220005","     218.666132","     222.133863","     212.243036","     235.300001","     259.507266","     238.774832","     211.540293","     209.262046","     208.342882","     232.429949","     219.719392","     201.982142","     232.672563","     226.992083","    6590.777118"
"SANTA BARBARA","Total","     137.309090","     124.853909","     125.495612","     122.938889","     115.345244","     123.470491","     136.864397","     131.297187","     130.455147","     126.950559","     123.053075","     129.101646","     141.807473","     137.050144","     133.958792","     153.357594","     137.185731","     136.840689","     131.491982","     143.072986","     153.303093","     158.308126","     121.589819","     144.907636","     122.748747","     137.644901","     128.293342","     124.463691","     126.002933","     142.552540","    4001.715465"
