"County","Sector","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"MODOC","Total","     145.174152","     148.953944","     152.795345","     152.090701","     164.670708","     167.937403","     169.104927","     163.950431","     149.265369","     154.042048","     159.040124","     160.847923","     146.464782","     160.302097","     153.502761","     151.678479","     169.410156","     161.659936","     162.143341","     165.152453","     166.379517","     142.508443","     164.591158","     176.209543","     137.400730","     143.794174","     156.182727","     162.784875","     128.373771","     139.940919","    4676.352937"
"MONO","Total","     205.216773","     196.881816","     199.437613","     189.668008","     188.889861","     191.584456","     204.417686","     196.937467","     204.770217","     201.154664","     199.670672","     199.702684","     185.580826","     174.901281","     195.599372","     195.081546","     163.458318","     145.722654","     136.529144","     146.895189","     153.034493","     186.345661","     181.058130","     170.287274","     165.460044","     169.584752","     166.931950","     162.219800","     184.867233","     159.319521","    5421.209105"
"MONTEREY","Total","    2470.652329","    2495.027323","    2572.162923","    2571.170109","    2663.120104","    2615.410895","    2634.329979","    2556.460786","    2575.688568","    2575.189528","    2603.496897","    2623.629984","    2589.340135","    2558.685421","    2557.365326","    2618.999850","    2599.763697","    2566.894848","    2496.821296","    2502.429242","    2484.664163","    2275.809169","    2351.909092","    2246.451466","    2276.214833","    2092.382654","    2202.366963","    2210.001332","    2184.817134","    2122.100590","   73893.356636"
"NAPA","Total","    1042.999221","    1033.056489","    1058.686989","    1054.482349","    1049.684523","    1044.103121","    1051.544652","    1036.950684","    1029.773454","    1018.701589","    1022.859763","    1037.240767","    1009.279736","     991.583558","     948.868842","     937.288279","     917.651792","     899.801058","     867.027538","     938.532466","     921.903925","     861.678032","     840.004652","     796.505235","     706.633885","     680.896891","     692.432841","     684.661579","     646.675129","     631.620557","   27453.129596"
"NEVADA","Total","     712.541032","     713.892438","     740.855019","     658.771786","     626.086897","     633.495324","     656.125319","     660.561665","     658.314774","     654.763253","     659.702417","     667.076896","     654.855214","     649.206500","     626.697384","     624.905012","     595.045907","     612.023612","     581.271749","     588.697852","     571.249233","     557.741838","     529.953873","     522.964434","     507.926251","     512.402460","     497.630683","     483.297529","     500.412367","     481.975536","   18140.444254"
"ORANGE","Total","   19459.508543","   20007.674650","   20201.473448","   20221.301600","   20722.439009","   20746.732780","   20280.637251","   20402.035286","   19924.600694","   19769.442353","   20677.120999","   21537.661265","   21129.488966","   21325.125106","   20688.959850","   20412.978819","   19714.029364","   18989.691866","   17684.151004","   20090.430018","   19107.107681","   19257.405165","   18538.229530","   17731.360566","   17097.471357","   17290.252180","   16619.122908","   17392.463063","   16605.068046","   16759.276382","  580383.239749"
"PLACER","Total","    2914.872353","    2901.811168","    2966.178122","    2932.113325","    2889.220675","    2913.040004","    2877.460429","    2905.679349","    2888.787892","    2880.390360","    2948.295528","    3017.490992","    3003.780846","    2834.931019","    2695.254294","    2711.827268","    2557.517714","    2436.275295","    2275.642769","    2352.575056","    2215.047578","    2128.929462","    1934.874656","    1829.063692","    1858.131537","    1794.466121","    1669.272402","    1586.812580","    1596.550767","    1492.592759","   74008.886012"
"PLUMAS","Total","     210.488311","     205.658471","     201.562900","     202.804473","     193.992136","     200.525731","     211.834681","     224.082302","     219.256866","     199.831493","     202.278262","     217.762512","     215.925028","     223.766887","     193.922074","     194.232182","     195.438271","     219.257812","     186.696368","     202.089880","     201.797196","     191.862723","     217.596324","     181.521330","     160.905286","     150.959280","     228.987747","     221.594323","     183.594684","     178.424229","    6038.649762"
"RIVERSIDE","Total","   15520.129785","   15877.454840","   15857.730863","   15409.361418","   15252.657885","   15533.937153","   15138.415994","   15282.907577","   14412.144090","   14057.080133","   14503.460484","   15087.627722","   14952.144863","   15196.535323","   13241.827297","   12700.532637","   12752.367819","   11509.004880","   10417.464881","   11623.667806","   10751.798174","    9960.878822","    9839.763913","    9552.215723","    9138.110289","    9012.977929","    7169.877540","    7211.068987","    6904.850597","    6764.057841","  370632.053265"
"SACRAMENTO","Total","   10828.217140","   10852.257351","   11322.854413","   10754.477495","   10832.385418","   10903.886951","   10744.330180","   10752.538726","   10710.363880","   10701.682882","   10980.845323","   11098.213150","   11065.338252","   10998.309395","   10707.323492","   10338.564736","   10040.424433","    9562.693676","    9550.241489","    9733.972532","    9523.367810","    9276.253256","    9111.944600","    9031.057622","    8605.638549","    8624.426429","    8582.342867","    8570.960932","    8397.128177","    8409.099665","  300611.140821"
